Player,Nation,Squad,Age,Min,ATK,Go,Ast,Touches,Interceptions,YellowCard
Nathan Bitu Mazala,FRA,Paris S-G,19.0,11,0.0,0,0,13,0,0
Ludovic Blas,FRA,Nantes,24.0,2961,0.44999999999999996,10,5,1556,39,10
Antonin Bobichon,FRA,Angers,26.0,38,0.0,0,0,24,0,0
Quentin Boisgard,FRA,Lorient,25.0,958,0.18,1,1,535,10,3
Charles Boli,FRA,Lens,23.0,32,0.0,0,0,20,0,0
Ismaëlben Boura,FRA,Lens,21.0,95,0.0,0,0,82,2,0
Benjamin Bourigeaud,FRA,Rennes,28.0,3193,0.65,11,12,2224,49,2
Redwan Bourles,FRA,Lorient,19.0,16,0.0,0,0,6,0,0
Bilal Brahimi,FRA,Angers,22.0,338,0.26,0,1,153,2,0
Bilal Brahimi,FRA,Nice,22.0,378,0.0,0,0,231,2,1
Lilian Brassier,FRA,Brest,22.0,2263,0.04,1,0,1534,60,4
Jimmy Briand,FRA,Bordeaux,36.0,226,1.2000000000000002,2,1,120,0,1
Rémy Cabella,FRA,Montpellier,32.0,313,0.0,0,0,256,5,0
Jimmy Cabot,FRA,Angers,28.0,2008,0.22,0,5,1720,57,4
Anthony Caci,FRA,Strasbourg,24.0,2395,0.15,1,3,1889,57,4
Mathieu Cafaro,FRA,Reims,25.0,192,0.0,0,0,106,2,2
Yannick Cahuzac,FRA,Lens,37.0,618,0.0,0,0,288,10,1
Marc-Aurèle Caillard,FRA,Metz,28.0,1542,0.0,0,0,514,0,1
Lucas Calodat,FRA,Saint-Étienne,20.0,4,0.0,0,0,0,0,0
Mahdi Camara,FRA,Saint-Étienne,23.0,3073,0.09,3,0,1936,69,8
Mamadou Camara,FRA,Troyes,21.0,40,0.0,0,0,19,0,0
Eduardo Camavinga,FRA,Rennes,19.0,143,0.0,0,0,90,1,0
Eduardo Camavinga,FRA,Real Madrid,19.0,1191,0.22999999999999998,2,1,1018,18,8
Pierrick Capelle,FRA,Angers,35.0,1193,0.08,0,1,738,33,1
Étienne Capoue,FRA,Villarreal,33.0,2290,0.08,1,1,1603,37,9
Maxence Caqueret,FRA,Lyon,22.0,2335,0.0,0,0,1868,61,5
Irvin Cardona,FRA,Brest,24.0,1334,0.41000000000000003,4,2,507,14,2
Fabien Centonze,FRA,Metz,26.0,1586,0.29000000000000004,4,1,1054,48,3
El Chadaille Bitshiabu,FRA,Paris S-G,17.0,5,0.0,0,0,4,0,0
Nassim Chadli,FRA,Troyes,20.0,96,0.0,0,0,73,3,1
Dylan Chambost,FRA,Troyes,24.0,753,0.12,0,1,543,9,0
Brendan Chardonnet,FRA,Brest,27.0,2686,0.1,3,0,1615,94,6
Xavier Chavalerin,FRA,Reims,31.0,220,0.0,0,0,119,7,0
Xavier Chavalerin,FRA,Troyes,31.0,2717,0.24000000000000002,5,2,1340,47,4
Rayan Cherki,FRA,Lyon,18.0,440,0.2,0,1,338,4,1
Joris Chotard,FRA,Montpellier,20.0,2935,0.06,1,1,1588,84,5
Alexis Claude-Maurice,FRA,Nice,23.0,209,0.87,0,2,145,2,1
Jonathan Clauss,FRA,Lens,29.0,3046,0.48,5,11,2257,102,3
Marcus Coco,FRA,Nantes,25.0,930,0.2,1,1,505,24,3
Kingsley Coman,FRA,Bayern Munich,25.0,1359,0.53,6,2,945,15,1
Francis Coquelin,FRA,Villarreal,31.0,830,0.33,2,1,607,16,3
Sébastien Corchia,FRA,Nantes,31.0,1324,0.2,0,3,753,27,0
Benoît Costil,FRA,Bordeaux,34.0,2250,0.0,0,0,965,0,1
Tanguy Coulibaly,FRA,Stuttgart,21.0,1079,0.08,0,1,506,7,8
Nicolas Cozza,FRA,Montpellier,23.0,2770,0.12,2,2,1714,69,2
Enzo Crivelli,FRA,Saint-Étienne,27.0,102,0.0,0,0,37,0,0
Mickaël Cuisance,FRA,Venezia,22.0,918,0.0,0,0,487,20,2
Mickaël Cuisance,FRA,Bayern Munich,22.0,13,0.0,0,0,19,0,0
Wylan Cyprien,FRA,Nantes,27.0,1490,0.3,2,3,1046,19,3
Lucas Da Cunha,FRA,Clermont Foot,20.0,836,0.22,2,0,442,7,0
Lucas Da Cunha,FRA,Nice,20.0,393,0.23,0,1,214,2,0
Damien Da Silva,FRA,Lyon,34.0,1126,0.0,0,0,1018,32,5
Colin Dagba,FRA,Paris S-G,23.0,165,0.0,0,0,161,3,1
Sebastien De Maio,FRA,Udinese,35.0,180,0.0,0,0,96,5,0
Romain Del Castillo,FRA,Brest,26.0,975,0.56,0,6,613,13,1
Romain Del Castillo,FRA,Rennes,26.0,28,0.0,0,0,22,1,0
Thomas Delaine,FRA,Metz,30.0,2316,0.12,1,2,1444,42,4
Sacha Delaye,FRA,Montpellier,20.0,262,0.34,0,1,119,2,0
Moussa Dembélé,FRA,Lyon,25.0,2207,1.02,21,4,799,8,6
Ousmane Dembélé,FRA,Barcelona,25.0,1409,0.8899999999999999,1,13,1033,13,3
Arthur Desmas,FRA,Clermont Foot,28.0,1304,0.0,0,0,439,0,0
Moussa Diaby,FRA,Leverkusen,22.0,2760,0.81,13,12,1331,21,10
Yadaly Diaby,FRA,Clermont Foot,21.0,67,0.0,0,0,34,3,1
Mouctar Diakhaby,FRA,Valencia,25.0,1948,0.05,0,1,972,56,11
Ibrahim Diakité,FRA,Reims,18.0,4,0.0,0,0,0,0,0
Ibrahima Diallo,FRA,Southampton,23.0,1023,0.18,0,2,541,17,1
Stéphane Diarra,FRA,Lorient,23.0,525,0.0,0,0,285,10,2
Lucas Digne,FRA,Aston Villa,28.0,1269,0.28,0,4,986,32,2
Lucas Digne,FRA,Everton,28.0,1170,0.0,0,0,823,31,4
Junior Dina Ebimbe,FRA,Paris S-G,21.0,316,0.0,0,0,256,4,2
Issa Diop,FRA,West Ham,25.0,963,0.09,0,1,568,17,0
Sofiane Diop,FRA,Monaco,21.0,1948,0.47000000000000003,6,4,1260,33,6
Andy Diouf,FRA,Rennes,20.0,14,0.0,0,0,11,0,0
Axel Disasi,FRA,Monaco,24.0,2721,0.03,1,0,2014,59,5
Naïs Djouahra,FRA,Real Sociedad,22.0,219,0.0,0,0,141,2,0
Brandon Domingues,FRA,Troyes,21.0,231,0.38,1,0,131,3,0
Lucas Douath,FRA,Saint-Étienne,18.0,1804,0.05,1,0,1062,27,7
Lohann Doucet,FRA,Nantes,19.0,6,0.0,0,0,7,1,0
Ismaël Doukouré,FRA,Strasbourg,18.0,17,0.0,0,0,6,0,0
Kamory Doumbia,FRA,Reims,19.0,352,0.77,2,1,243,11,1
Matthieu Dreyer,FRA,Lorient,33.0,1440,0.0,0,0,459,0,0
Leo Dubois,FRA,Lyon,27.0,1742,0.0,0,0,1550,28,5
Jean-Kevin Duverne,FRA,Brest,24.0,3007,0.12,1,3,2175,77,1
Odsonne Édouard,FRA,Crystal Palace,24.0,1564,0.51,6,3,683,11,4
Hugo Ekitike,FRA,Reims,19.0,1273,0.9199999999999999,10,3,636,15,1
Sepe Elye Wahi,FRA,Montpellier,19.0,1786,0.56,10,1,458,6,2
Maxime Estève,FRA,Montpellier,20.0,1857,0.0,0,0,1005,44,2
Romain Faivre,FRA,Brest,23.0,1795,0.6,7,5,1137,26,1
Romain Faivre,FRA,Lyon,23.0,889,0.3,3,0,707,7,0
Noah Fatar,FRA,Angers,20.0,5,0.0,0,0,4,0,0
Julien Faussurier,FRA,Brest,35.0,489,0.19,0,1,333,11,1
Nabil Fekir,FRA,Betis,28.0,2794,0.45,6,8,1968,16,7
Jordan Ferri,FRA,Montpellier,30.0,2911,0.06,0,2,2811,41,13
Alexis Flips,FRA,Reims,22.0,1056,0.51,2,4,676,34,2
Wesley Fofana,FRA,Leicester City,21.0,630,0.0,0,0,569,16,2
Youssouf Fofana,FRA,Monaco,23.0,2190,0.16,0,4,1477,44,4
Dimitri Foulquier,FRA,Granada,29.0,180,0.0,0,0,92,2,0
Dimitri Foulquier,FRA,Valencia,29.0,2342,0.04,0,1,1267,54,11
Angelo Fulgini,FRA,Angers,25.0,2929,0.27,5,4,1868,36,6
Gauthier Gallon,FRA,Troyes,29.0,2790,0.0,0,0,1144,0,2
Kévin Gameiro,FRA,Strasbourg,35.0,2385,0.53,11,3,1068,14,0
Djeidi Gassama,FRA,Paris S-G,18.0,2,0.0,0,0,0,0,0
Johan Gastien,FRA,Clermont Foot,34.0,2746,0.03,0,1,2905,75,8
Valère Germain,FRA,Montpellier,32.0,1970,0.32,4,3,668,15,3
Willem Geubbels,FRA,Nantes,20.0,544,0.5,2,1,218,6,1
Lamine Ghezali,FRA,Saint-Étienne,22.0,1,0.0,0,0,0,0,0
Jimmy Giraudon,FRA,Troyes,30.0,1619,0.0,0,0,1009,62,5
Olivier Giroud,FRA,Milan,35.0,1892,0.66,11,3,708,4,4
Maxime Gonalons,FRA,Granada,33.0,1460,0.12,0,2,839,28,6
Amine Gouiri,FRA,Nice,22.0,2754,0.62,10,9,1420,11,3
Jonathan Gradit,FRA,Lens,29.0,3067,0.0,0,0,2409,88,7
Andrew Gravillon,FRA,Reims,24.0,2135,0.0,0,0,1200,52,9
Clément Grenier,FRA,Mallorca,31.0,60,1.43,1,0,47,0,1
Antoine Griezmann,FRA,Barcelona,31.0,263,0.0,0,0,147,6,0
Antoine Griezmann,FRA,Atlético Madrid,31.0,1695,0.37,3,4,917,18,3
Noah Guede-Nadje,FRA,Angers,18.0,3,0.0,0,0,0,0,0
Mattéo Guendouzi,FRA,Marseille,23.0,3152,0.28,4,6,2522,25,6
Yanis Guermouche,FRA,Montpellier,21.0,11,0.0,0,0,7,0,0
Evann Guessand,FRA,Nice,20.0,438,0.61,1,2,144,2,3
Josuha Guilavogui,FRA,Bordeaux,31.0,1331,0.14,1,1,964,48,4
Josuha Guilavogui,FRA,Wolfsburg,31.0,942,0.0,0,0,666,36,4
Frederic Guilbert,FRA,Strasbourg,27.0,2516,0.14,0,4,1862,69,4
Malo Gusto,FRA,Lyon,19.0,1884,0.19,0,4,1750,49,3
Pierre-Yves Hamel,FRA,Lorient,28.0,30,0.0,0,0,12,1,1
Pierre-Yves Hamel,FRA,Clermont Foot,28.0,523,0.0,0,0,169,3,2
Romain Hamouma,FRA,Saint-Étienne,35.0,886,0.30000000000000004,2,1,461,3,2
Thomas Henry,FRA,Venezia,27.0,2115,0.47,9,2,776,3,6
Jérôme Hergault,FRA,Lorient,36.0,352,0.0,0,0,262,10,2
Lucas Hernández,FRA,Bayern Munich,26.0,2030,0.04,0,1,2192,41,7
Theo Hernández,FRA,Milan,24.0,2711,0.34,5,5,2075,55,7
Franck Honorat,FRA,Brest,25.0,2899,0.46,11,4,1594,33,3
Jonathan Ikone,FRA,Lille,24.0,1062,0.08,1,0,568,8,1
Jonathan Ikone,FRA,Fiorentina,24.0,649,0.28,1,1,370,5,1
Wilson Isidor,FRA,Monaco,21.0,50,0.0,0,0,21,0,0
Corentin Jean,FRA,Lens,26.0,255,0.36,1,0,167,0,2
Lenny Joseph,FRA,Metz,21.0,153,0.0,0,0,56,0,1
Arnaud Kalimuendo,FRA,Paris S-G,20.0,8,0.0,0,0,5,0,0
Arnaud Kalimuendo,FRA,Lens,20.0,2148,0.5,12,0,790,8,1
Pierre Kalulu,FRA,Milan,21.0,1944,0.14,1,2,1385,51,4
Boubacar Kamara,FRA,Marseille,22.0,2778,0.03,1,0,2744,65,5
Nordine Kandil,FRA,Strasbourg,20.0,90,1.0,0,1,85,1,1
N'Golo Kanté,FRA,Chelsea,31.0,1773,0.30000000000000004,2,4,1521,44,2
Presnel Kimpembe,FRA,Paris S-G,26.0,2576,0.03,1,0,2462,54,6
Samuel Koeberlé,FRA,Reims,17.0,1,0.0,0,0,0,0,0
Philippe Koffi,FRA,Reims,20.0,375,0.24,1,0,146,3,1
Koba Koindredi,FRA,Valencia,20.0,181,0.0,0,0,83,4,1
Randal Kolo Muani,FRA,Nantes,23.0,2948,0.49,12,4,1061,14,2
Timothée Kolodziejczak,FRA,Saint-Étienne,30.0,2565,0.18,2,3,1855,55,4
Ibrahima Konaté,FRA,Liverpool,23.0,990,0.0,0,0,830,28,2
Kouadio Koné,FRA,M'Gladbach,21.0,2183,0.08,2,0,1572,67,10
Laurent Koscielny,FRA,Bordeaux,36.0,933,0.1,0,1,639,28,2
Nianzou Kouassi,FRA,Bayern Munich,19.0,582,0.3,1,1,593,12,4
Jules Koundé,FRA,Sevilla,23.0,2736,0.1,2,1,2420,55,2
Jean-Philippe Krasso,FRA,Saint-Étienne,24.0,453,0.4,1,1,187,0,0
Enock Kwateng,FRA,Bordeaux,25.0,2002,0.05,1,0,1430,71,6
Grejohn Kyei,FRA,Clermont Foot,26.0,396,0.23,0,1,159,0,1
Gaëtan Laborde,FRA,Rennes,28.0,2729,0.66,12,8,982,17,1
Gaëtan Laborde,FRA,Montpellier,28.0,341,0.79,3,0,142,4,1
Alexandre Lacazette,FRA,Arsenal,31.0,1782,0.55,4,7,663,13,0
Tom Lacoux,FRA,Bordeaux,20.0,907,0.0,0,0,516,19,5
Lenny Lacroix,FRA,Metz,19.0,200,0.45,0,1,112,14,0
Maxence Lacroix,FRA,Wolfsburg,22.0,2491,0.0,0,0,1901,112,5
Alban Lafont,FRA,Nantes,23.0,3420,0.0,0,0,1254,0,3
Julien Laporte,FRA,Lorient,28.0,2891,0.06,2,0,1805,72,7
Bryan Lasme,FRA,Arminia,23.0,877,0.21,2,0,328,1,2
Paul Lasne,FRA,Brest,33.0,847,0.11,0,1,529,27,1
Armand Lauriente,FRA,Lorient,23.0,2477,0.29000000000000004,6,2,1098,31,5
Théo Le Bris,FRA,Lorient,19.0,61,0.0,0,0,25,1,0
Jérémy Le Douaron,FRA,Brest,24.0,1446,0.5,5,3,558,9,0
Enzo Le Fée,FRA,Lorient,22.0,2194,0.16,1,3,1599,44,2
Vincent Le Goff,FRA,Lorient,32.0,3060,0.06,1,1,2101,49,1
Maxime Le Marchand,FRA,Strasbourg,32.0,860,0.2,1,1,623,17,4
Robin Le Normand,FRA,Real Sociedad,25.0,3330,0.06,1,1,2464,61,6
Jean-Louis Leca,FRA,Lens,36.0,2313,0.0,0,0,797,1,3
Pierre Lees-Melou,FRA,Norwich City,29.0,2265,0.04,1,0,1268,42,5
Florian Lejeune,FRA,Alavés,31.0,2699,0.0,0,0,1499,61,9
Thomas Lemar,FRA,Atlético Madrid,26.0,1440,0.56,4,5,989,18,2
Fabien Lemoine,FRA,Lorient,35.0,1117,0.08,0,1,1000,19,5
Clément Lenglet,FRA,Barcelona,26.0,826,0.11,0,1,882,15,4
Léo Leroy,FRA,Montpellier,22.0,626,0.0,0,0,426,6,3
Alexandre Letellier,FRA,Paris S-G,31.0,8,0.0,0,0,3,0,0
Yanis Lhery,FRA,Saint-Étienne,19.0,72,0.0,0,0,26,1,0
Dimitri Liénard,FRA,Strasbourg,34.0,2044,0.22,2,3,1653,35,8
Isaac Lihadji,FRA,Lille,20.0,238,1.5299999999999998,1,3,138,4,1
Hugo Lloris,FRA,Tottenham,35.0,3420,0.0,0,0,1041,0,2
Banzouzi Locko,FRA,Reims,20.0,1011,0.18,1,1,594,16,4
Maxime Lopez,FRA,Sassuolo,24.0,2938,0.09,2,1,2889,59,14
Samuel Loric,FRA,Lorient,21.0,269,0.0,0,0,175,10,0
Anthony Losilla,FRA,Bochum,36.0,2935,0.06,2,0,1644,74,5
Johaneko Louisjean,FRA,Bordeaux,17.0,12,0.0,0,0,11,0,0
Castello Lukeba,FRA,Lyon,19.0,2095,0.09,2,0,1869,69,1
Yannis M'Bemba,FRA,Nantes,20.0,5,0.0,0,0,4,0,0
Yvann Macon,FRA,Saint-Étienne,23.0,1529,0.0,0,0,1222,31,7
Hugo Magnetti,FRA,Brest,23.0,1463,0.06,0,1,860,42,4
Yohann Magnin,FRA,Clermont Foot,24.0,1717,0.05,1,0,1139,18,2
Mike Maignan,FRA,Milan,26.0,2880,0.03,0,1,1219,0,1
Jean-Victor Makengo,FRA,Udinese,23.0,2351,0.15,1,3,1100,32,7
Hianga Mananga Mbock,FRA,Brest,22.0,799,0.0,0,0,366,5,3
Vincent Manceau,FRA,Angers,32.0,2361,0.0,0,0,1818,44,2
Steve Mandanda,FRA,Marseille,37.0,810,0.0,0,0,416,0,0
Anthony Mandrea,FRA,Angers,25.0,900,0.0,0,0,313,0,0
Eliaquim Mangala,FRA,Saint-Étienne,31.0,1179,0.08,1,0,711,31,9
Thomas Mangani,FRA,Angers,35.0,2193,0.37,7,2,1728,41,6
Myziane Maolida,FRA,Nice,23.0,34,0.0,0,0,11,0,0
Myziane Maolida,FRA,Hertha BSC,23.0,776,0.24,1,1,334,2,0
Sekou Mara,FRA,Bordeaux,19.0,905,0.59,6,0,350,1,2
Anthony Martial,FRA,Sevilla,26.0,490,0.19,0,1,233,3,1
Anthony Martial,FRA,Manchester Utd,26.0,212,0.42,1,0,108,1,0
Jonas Martin,FRA,Rennes,32.0,2105,0.08,1,1,1859,30,8
Jean-Philippe Mateta,FRA,Crystal Palace,24.0,1145,0.47000000000000003,5,1,389,4,2
Chrislain Matsima,FRA,Monaco,20.0,134,0.0,0,0,104,2,0
Neal Maupay,FRA,Brighton,25.0,2276,0.4,8,2,885,10,7
Derek Mazou-Sacko,FRA,Troyes,17.0,3,0.0,0,0,0,0,0
Kylian Mbappé,FRA,Paris S-G,23.0,3023,1.37,28,18,1978,14,10
Bryan Mbeumo,FRA,Brentford,22.0,2905,0.33999999999999997,4,7,1220,23,4
Jason Mbock,FRA,Angers,22.0,17,0.0,0,0,8,0,1
Nathanael Mbuku,FRA,Reims,20.0,1418,0.19,2,1,575,23,1
Houboulang Mendes,FRA,Lorient,24.0,3220,0.03,0,1,1875,75,5
Batista Mendy,FRA,Angers,22.0,2413,0.08,1,1,1499,44,5
Benjamin Mendy,FRA,Manchester City,27.0,78,0.0,0,0,90,0,0
Ferland Mendy,FRA,Real Madrid,26.0,1734,0.15000000000000002,2,1,1543,33,4
Quentin Merlin,FRA,Nantes,20.0,1926,0.23,2,3,1545,41,0
Illan Meslier,FRA,Leeds United,22.0,3384,0.0,0,0,1493,0,2
Edouard Michut,FRA,Paris S-G,19.0,70,1.25,0,1,64,0,0
William Mikelbrencis,FRA,Metz,18.0,610,0.15,0,1,384,11,0
Enzo Millot,FRA,Stuttgart,19.0,53,1.67,0,1,43,2,0
Anthony Modeste,FRA,Köln,34.0,2606,0.83,20,4,762,6,4
Florent Mollet,FRA,Montpellier,30.0,2630,0.28,6,2,1522,37,6
Thomas Monconduit,FRA,Lorient,31.0,2248,0.2,3,2,1559,32,5
Baptiste Mouazan,FRA,Lorient,20.0,96,0.0,0,0,45,1,0
Aimen Moueffek,FRA,Saint-Étienne,21.0,432,0.0,0,0,298,8,1
Jessy Moulin,FRA,Troyes,36.0,630,0.0,0,0,263,0,3
Lys Mousset,FRA,Salernitana,26.0,160,0.56,0,1,69,1,2
Nordi Mukiele,FRA,RB Leipzig,24.0,1842,0.2,1,3,1410,52,3
Junior Mwanga,FRA,Bordeaux,19.0,90,0.0,0,0,69,3,0
Obite N'Dicka,FRA,Eint Frankfurt,22.0,2857,0.26,4,4,2263,64,3
Kévin N'Doram,FRA,Metz,26.0,1235,0.0,0,0,646,27,5
Eric N'Jo,FRA,Troyes,17.0,98,0.0,0,0,35,1,0
Mickael Nade,FRA,Saint-Étienne,23.0,2563,0.04,1,0,1498,76,4
Paul Nardi,FRA,Lorient,28.0,1980,0.0,0,0,587,0,1
Tanguy Ndombele,FRA,Tottenham,25.0,484,0.38,1,1,351,3,1
Tanguy Ndombele,FRA,Lyon,25.0,701,0.26,0,2,615,9,3
Aurélien Nguiamba,FRA,Spezia,23.0,51,0.0,0,0,38,1,1
Sikou Niakaté,FRA,Metz,22.0,661,0.0,0,0,321,29,2
Moussa Niakhate,FRA,Mainz 05,26.0,2567,0.14,4,0,1877,75,1
Christopher Nkunku,FRA,RB Leipzig,24.0,2723,1.09,20,13,1467,24,2
Arnaud Nordin,FRA,Saint-Étienne,23.0,1874,0.38,4,4,885,17,4
Randy Ntekja,FRA,Rayo Vallecano,24.0,1462,0.19,3,0,661,14,2
Gerzino Nyamsi,FRA,Strasbourg,25.0,2984,0.06,0,2,1727,42,4
Florent Ogier,FRA,Clermont Foot,33.0,2429,0.04,1,0,1743,41,6
Michael Olise,FRA,Crystal Palace,20.0,1141,0.55,2,5,830,13,4
Warmed Omari,FRA,Rennes,22.0,2796,0.0,0,0,2224,47,6
Remi Oudin,FRA,Bordeaux,25.0,1737,0.47,4,5,892,26,6
Vincent Pajot,FRA,Metz,31.0,2311,0.04,1,0,1361,66,6
Nicolas Pallois,FRA,Nantes,34.0,2447,0.04,1,0,1406,73,8
Benjamin Pavard,FRA,Bayern Munich,26.0,2076,0.04,0,1,2307,46,2
Dimitri Payet,FRA,Marseille,35.0,2592,0.77,12,10,1901,14,3
Timothee Pembele,FRA,Bordeaux,19.0,1414,0.12,1,1,872,35,3
Brayann Pereira,FRA,Lens,19.0,15,0.0,0,0,14,1,0
Romain Perraud,FRA,Southampton,24.0,1623,0.06,0,1,958,24,3
Lucas Perrin,FRA,Strasbourg,23.0,2502,0.08,1,1,1660,63,5
Léo Pétrot,FRA,Lorient,25.0,1815,0.05,1,0,1170,47,0
Romain Philippoteaux,FRA,Brest,34.0,24,0.0,0,0,9,0,0
Jérôme Phojo,FRA,Clermont Foot,29.0,6,0.0,0,0,3,1,0
Jérémy Pied,FRA,Lille,33.0,13,0.0,0,0,39,3,0
Ronaël Pierre-Gabriel,FRA,Brest,23.0,2548,0.04,0,1,1724,60,6
Alassane Pléa,FRA,M'Gladbach,29.0,2070,0.69,10,6,1042,10,4
Paul Pogba,FRA,Manchester Utd,29.0,1349,0.6699999999999999,1,9,1085,19,7
Gaëtan Poussin,FRA,Bordeaux,23.0,1170,0.0,0,0,525,0,3
Nicolas de Préville,FRA,Metz,31.0,1969,0.32,5,2,921,17,5
Afimico Pululu,FRA,Greuther Fürth,23.0,70,0.0,0,0,45,0,0
Adrien Rabiot,FRA,Juventus,27.0,2285,0.08,0,2,1346,32,5
Adil Rami,FRA,Troyes,36.0,1171,0.23,3,0,619,18,1
Jeff Reine-Adélaïde,FRA,Lyon,24.0,198,0.45,0,1,199,2,0
Franck Ribéry,FRA,Salernitana,39.0,1421,0.13,0,2,903,13,3
Renaud Ripart,FRA,Troyes,29.0,1893,0.2,2,2,984,19,2
Maxence Rivera,FRA,Saint-Étienne,19.0,5,0.0,0,0,1,0,0
Valentin Rongier,FRA,Marseille,27.0,2194,0.04,0,1,2199,43,3
Jérôme Roussillon,FRA,Wolfsburg,29.0,1775,0.05,1,0,1142,24,5
Georginio Rutter,FRA,Hoffenheim,20.0,1611,0.56,8,2,646,8,2
Roli Pereira de Sa,FRA,Nantes,25.0,573,0.0,0,0,331,9,1
Mathys Saban,FRA,Saint-Étienne,20.0,73,0.0,0,0,30,0,1
Rafiki Said Ahamada,FRA,Brest,22.0,122,0.0,0,0,86,0,1
Wesley Saïd,FRA,Lens,27.0,654,0.68,5,0,312,4,2
Allan Saint-Maximin,FRA,Newcastle Utd,25.0,2804,0.32,5,5,1221,21,6
Mamadou Sakho,FRA,Montpellier,32.0,2575,0.0,0,0,1880,65,3
William Saliba,FRA,Marseille,21.0,3240,0.0,0,0,3352,80,5
Romain Salin,FRA,Rennes,37.0,90,0.0,0,0,34,0,0
Junior Sambia,FRA,Montpellier,25.0,1533,0.06,1,0,956,29,5
Morgan Sanson,FRA,Aston Villa,27.0,356,0.0,0,0,217,11,0
Baptiste Santamaria,FRA,Freiburg,27.0,21,0.0,0,0,9,0,0
Baptiste Santamaria,FRA,Rennes,27.0,2518,0.11000000000000001,2,1,1841,48,7
Malang Sarr,FRA,Chelsea,23.0,546,0.0,0,0,536,12,2
Téji Savanier,FRA,Montpellier,30.0,2414,0.56,8,7,2038,50,9
Jonathan Schmid,FRA,Freiburg,31.0,588,0.15,0,1,392,7,0
Morgan Schneiderlin,FRA,Nice,32.0,649,0.14,0,1,473,22,1
Aboubakar Sidibé,FRA,Clermont Foot,26.0,6,0.0,0,0,3,0,0
Djibril Sidibé,FRA,Monaco,29.0,949,0.0,0,0,857,25,6
Kiliann Sildillia,FRA,Freiburg,20.0,169,0.0,0,0,116,3,1
Mohamed Simakan,FRA,RB Leipzig,22.0,2009,0.04,1,0,1612,52,5
Ibrahima Sissoko,FRA,Strasbourg,24.0,2303,0.28,2,5,1374,44,6
Moussa Sissoko,FRA,Watford,32.0,3220,0.09,2,1,1531,44,5
Nelson Sissoko,FRA,Saint-Étienne,25.0,45,0.0,0,0,16,1,1
Sambou Sissoko,FRA,Reims,23.0,176,0.0,0,0,125,6,0
Brandon Soppy,FRA,Udinese,20.0,777,0.0,0,0,359,11,4
Florian Sotoca,FRA,Lens,31.0,2480,0.36,6,4,1524,31,7
Adama Soumaoro,FRA,Bologna,29.0,2266,0.0,0,0,1254,44,6
Boubakary Soumaré,FRA,Leicester City,23.0,1102,0.08,0,1,694,17,0
Arnaud Souquet,FRA,Montpellier,30.0,2334,0.16,1,3,1476,51,4
Waniss Taibi,FRA,Angers,20.0,132,0.0,0,0,89,0,2
Flavien Tait,FRA,Rennes,29.0,2125,0.33999999999999997,5,3,1535,22,3
Florian Tardieu,FRA,Troyes,30.0,2632,0.21000000000000002,4,2,2307,55,6
Loum Tchaouna,FRA,Rennes,18.0,87,0.0,0,0,54,2,0
Aurélien Tchouaméni,FRA,Monaco,22.0,2929,0.15,3,2,2470,114,11
Mathys Tel,FRA,Rennes,17.0,56,0.0,0,0,44,3,0
Jordan Tell,FRA,Clermont Foot,24.0,290,0.62,1,1,136,1,1
Martin Terrier,FRA,Rennes,25.0,2779,0.78,21,3,1359,22,1
Romain Thomas,FRA,Angers,33.0,2563,0.07,2,0,1976,47,9
Adrien Thomasson,FRA,Strasbourg,28.0,2389,0.44999999999999996,8,4,1701,48,2
Marcus Thuram,FRA,M'Gladbach,24.0,979,0.28,3,0,422,7,2
Khéphren Thuram-Ulie,FRA,Nice,21.0,1901,0.28,4,2,1379,45,4
Alexis Tibidi,FRA,Stuttgart,18.0,385,0.0,0,0,175,3,1
Jean-Clair Todibo,FRA,Nice,22.0,3115,0.03,1,0,2755,79,6
Corentin Tolisso,FRA,Bayern Munich,27.0,703,0.39,2,1,635,8,0
Abdoulaye Touré,FRA,Genoa,28.0,430,0.0,0,0,226,10,1
Lucas Tousart,FRA,Hertha BSC,25.0,1962,0.09,2,0,1025,41,3
Amadou Traore,FRA,Bordeaux,20.0,19,0.0,0,0,6,0,0
Adrien Truffert,FRA,Rennes,20.0,1639,0.27,3,2,1371,32,4
Matthieu Udol,FRA,Metz,26.0,1007,0.09,1,0,619,39,0
Chimuanya Ugochukwu,FRA,Rennes,18.0,405,0.22,1,0,266,4,2
Samuel Umtiti,FRA,Barcelona,28.0,90,0.0,0,0,57,1,1
Dayot Upamecano,FRA,Bayern Munich,23.0,2211,0.27999999999999997,1,6,2498,69,4
Yan Valery,FRA,Southampton,23.0,370,0.0,0,0,212,12,0
Jonathan Varane,FRA,Lens,20.0,1,0.0,0,0,0,0,0
Raphaël Varane,FRA,Manchester Utd,29.0,1831,0.1,1,1,1298,35,0
Jordan Veretout,FRA,Roma,29.0,2319,0.47,4,8,1610,27,6
Christopher Wooh,FRA,Lens,20.0,1050,0.09,0,1,751,20,2
Leny Yoro,FRA,Lille,16.0,13,0.0,0,0,12,0,0
Zaydou Youssouf,FRA,Saint-Étienne,22.0,1553,0.06,1,0,951,29,3
Dan-Axel Zagadou,FRA,Dortmund,22.0,952,0.0,0,0,1031,24,2
Akim Zedadka,FRA,Clermont Foot,26.0,3337,0.08,0,3,2577,85,5
Luca Zidane,FRA,Rayo Vallecano,24.0,645,0.0,0,0,248,0,0
