Player,Nation,Squad,Age,Min,ATK,Go,Ast,Touches,Interceptions,YellowCard
Gonzalo Escalante,ARG,Alavés,29.0,1300,0.35,5,0,584,33,8
Federico Fazio,ARG,Salernitana,35.0,1434,0.06,1,0,817,46,3
Federico Fernández,ARG,Newcastle Utd,33.0,523,0.0,0,0,267,13,0
Juan Foyth,ARG,Villarreal,24.0,1924,0.1,1,1,1413,34,6
Papu Gómez,ARG,Sevilla,34.0,1784,0.3,5,1,1193,18,4
Nicolás González,ARG,Fiorentina,24.0,2357,0.5,7,6,1367,33,4
Marcos Mauro López Gutiérrez,ARG,Cádiz,31.0,136,0.0,0,0,42,4,1
Mauro Icardi,ARG,Paris S-G,29.0,1027,0.35,4,0,249,8,1
Érik Lamela,ARG,Sevilla,30.0,1015,0.62,5,2,635,11,5
Manuel Lanzini,ARG,West Ham,29.0,1786,0.4,5,3,1381,28,2
Jeremías Ledesma,ARG,Cádiz,29.0,3420,0.0,0,0,1284,0,4
Giovani Lo Celso,ARG,Tottenham,26.0,238,0.0,0,0,199,3,0
Giovani Lo Celso,ARG,Villarreal,26.0,994,0.18,1,1,683,7,3
José Luis Palomino,ARG,Atalanta,32.0,2672,0.03,1,0,1992,92,9
Alexis Mac Allister,ARG,Brighton,23.0,2123,0.29,5,2,1404,24,4
Iván Marcone,ARG,Elche,31.0,809,0.0,0,0,520,21,5
Lucas Martínez Quarta,ARG,Fiorentina,26.0,1431,0.06,1,0,1285,38,8
Emiliano Martínez,ARG,Aston Villa,29.0,3240,0.0,0,0,1141,1,4
Lautaro Martínez,ARG,Inter,24.0,2282,0.95,21,3,882,22,6
Facundo Medina,ARG,Lens,23.0,2593,0.03,1,0,2535,67,11
Lionel Messi,ARG,Paris S-G,34.0,2153,0.84,6,14,1935,12,0
Nahuel Molina,ARG,Udinese,24.0,2638,0.31,7,2,1518,35,7
Gonzalo Montiel,ARG,Sevilla,25.0,1066,0.25,1,2,797,15,7
Juan Musso,ARG,Atalanta,28.0,2932,0.0,0,0,1020,0,1
Lucas Ocampos,ARG,Sevilla,27.0,2125,0.42000000000000004,6,4,1270,28,7
Exequiel Palacios,ARG,Leverkusen,23.0,1097,0.32,2,2,942,47,2
Leandro Paredes,ARG,Paris S-G,27.0,838,0.33,1,2,998,16,3
Javier Pastore,ARG,Elche,32.0,525,0.0,0,0,344,5,2
Roberto Pereyra,ARG,Udinese,31.0,1794,0.4,3,5,1062,20,10
Nehuén Pérez,ARG,Udinese,21.0,1692,0.05,0,1,966,29,6
Diego Perotti,ARG,Salernitana,33.0,287,0.0,0,0,201,4,1
Germán Pezzella,ARG,Betis,30.0,1988,0.05,1,0,1268,49,5
Pablo Piatti,ARG,Elche,33.0,312,0.0,0,0,139,4,0
Ezequiel Ponce,ARG,Elche,25.0,667,0.14,1,0,265,4,1
Ignacio Pussetto,ARG,Udinese,26.0,1204,0.6,4,4,518,7,4
Guido Rodríguez,ARG,Betis,28.0,2529,0.11000000000000001,1,2,1756,50,9
Cristian Romero,ARG,Tottenham,24.0,1844,0.05,1,0,1533,57,8
Luka Romero,ARG,Lazio,17.0,84,0.0,0,0,51,2,0
Sergio Romero,ARG,Venezia,35.0,1440,0.0,0,0,653,0,2
Gerónimo Rulli,ARG,Villarreal,30.0,2880,0.0,0,0,1366,0,2
Franco Russo,ARG,Mallorca,27.0,1464,0.06,1,0,830,40,7
Jonathan Silva,ARG,Getafe,27.0,226,0.0,0,0,137,5,4
Giovanni Simeone,ARG,Hellas Verona,26.0,2653,0.75,17,5,1167,6,8
Giovanni Simeone,ARG,Cagliari,26.0,7,0.0,0,0,3,0,0
Giuliano Simeone,ARG,Atlético Madrid,19.0,1,0.0,0,0,0,0,0
Augusto Solari,ARG,Celta Vigo,30.0,714,0.0,0,0,559,15,5
Matìas Soulé,ARG,Juventus,19.0,5,0.0,0,0,5,0,0
Nahuel Tenaglia,ARG,Alavés,26.0,1073,0.0,0,0,640,34,2
Óscar Trejo,ARG,Rayo Vallecano,34.0,2007,0.53,3,9,1374,17,13
Ajdin Hrustic,AUS,Eint Frankfurt,25.0,964,0.19,2,0,750,19,2
Mathew Ryan,AUS,Real Sociedad,30.0,270,0.0,0,0,119,0,0
Cristian Volpato,AUS,Roma,18.0,38,2.5,1,0,33,0,0
Christian Benteke,BEL,Crystal Palace,31.0,1145,0.39,4,1,463,1,3
Sebastiaan Bornauw,BEL,Wolfsburg,23.0,2007,0.04,1,0,1389,44,4
Dedryck Boyata,BEL,Hertha BSC,31.0,1898,0.0,0,0,1023,23,1
Maxime Busi,BEL,Reims,22.0,1296,0.07,1,0,850,26,3
Yannick Carrasco,BEL,Atlético Madrid,28.0,2583,0.42,6,6,1642,37,5
